ADM3_EN,ADM3_PCODE,ADM3_REF,ADM3ALT1EN,ADM3ALT2EN,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE
City of Vigan,PH012934000,,Capital,,Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH
Agoo,PH013301000,,,,La Union,PH013300000,Region I,PH010000000,Philippines (the),PH
Aringay,PH013302000,,,,La Union,PH013300000,Region I,PH010000000,Philippines (the),PH
Bacnotan,PH013303000,,,,La Union,PH013300000,Region I,PH010000000,Philippines (the),PH
Bagulin,PH013304000,,,,La Union,PH013300000,Region I,PH010000000,Philippines (the),PH
Balaoan,PH013305000,,,,La Union,PH013300000,Region I,PH010000000,Philippines (the),PH
Bangar,PH013306000,,,,La Union,PH013300000,Region I,PH010000000,Philippines (the),PH
Bauang,PH013307000,,,,La Union,PH013300000,Region I,PH010000000,Philippines (the),PH
Burgos,PH013308000,,,,La Union,PH013300000,Region I,PH010000000,Philippines (the),PH
Caba,PH013309000,,,,La Union,PH013300000,Region I,PH010000000,Philippines (the),PH
Luna,PH013310000,,,,La Union,PH013300000,Region I,PH010000000,Philippines (the),PH
Naguilian,PH013311000,,,,La Union,PH013300000,Region I,PH010000000,Philippines (the),PH
Pugo,PH013312000,,,,La Union,PH013300000,Region I,PH010000000,Philippines (the),PH
Rosario,PH013313000,,,,La Union,PH013300000,Region I,PH010000000,Philippines (the),PH
City of San Fernando,PH013314000,,Capital,,La Union,PH013300000,Region I,PH010000000,Philippines (the),PH
San Gabriel,PH013315000,,,,La Union,PH013300000,Region I,PH010000000,Philippines (the),PH
San Juan,PH013316000,,,,La Union,PH013300000,Region I,PH010000000,Philippines (the),PH
Santo Tomas,PH013317000,,,,La Union,PH013300000,Region I,PH010000000,Philippines (the),PH
Santol,PH013318000,,,,La Union,PH013300000,Region I,PH010000000,Philippines (the),PH
Sudipen,PH013319000,,,,La Union,PH013300000,Region I,PH010000000,Philippines (the),PH
Tubao,PH013320000,,,,La Union,PH013300000,Region I,PH010000000,Philippines (the),PH
Agno,PH015501000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Aguilar,PH015502000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
City of Alaminos,PH015503000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Alcala,PH015504000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Anda,PH015505000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Asingan,PH015506000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Balungao,PH015507000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Bani,PH015508000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Basista,PH015509000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Bautista,PH015510000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Bayambang,PH015511000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Binalonan,PH015512000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Binmaley,PH015513000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Bolinao,PH015514000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Bugallon,PH015515000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Burgos,PH015516000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Calasiao,PH015517000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Dagupan City,PH015518000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Dasol,PH015519000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Infanta,PH015520000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Labrador,PH015521000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Lingayen,PH015522000,,Capital,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Mabini,PH015523000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Malasiqui,PH015524000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Manaoag,PH015525000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Mangaldan,PH015526000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Mangatarem,PH015527000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Mapandan,PH015528000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Natividad,PH015529000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Pozorrubio,PH015530000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Rosales,PH015531000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
San Carlos City,PH015532000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
San Fabian,PH015533000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
San Jacinto,PH015534000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
San Manuel,PH015535000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
San Nicolas,PH015536000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
San Quintin,PH015537000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Santa Barbara,PH015538000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Santa Maria,PH015539000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Santo Tomas,PH015540000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Sison,PH015541000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Sual,PH015542000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Tayug,PH015543000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Umingan,PH015544000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Urbiztondo,PH015545000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
City of Urdaneta,PH015546000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Villasis,PH015547000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Laoac,PH015548000,,,,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Basco,PH020901000,,Capital,,Batanes,PH020900000,Region II,PH020000000,Philippines (the),PH
Itbayat,PH020902000,,,,Batanes,PH020900000,Region II,PH020000000,Philippines (the),PH
Ivana,PH020903000,,,,Batanes,PH020900000,Region II,PH020000000,Philippines (the),PH
Mahatao,PH020904000,,,,Batanes,PH020900000,Region II,PH020000000,Philippines (the),PH
Sabtang,PH020905000,,,,Batanes,PH020900000,Region II,PH020000000,Philippines (the),PH
Uyugan,PH020906000,,,,Batanes,PH020900000,Region II,PH020000000,Philippines (the),PH
Abulug,PH021501000,,,,Cagayan,PH021500000,Region II,PH020000000,Philippines (the),PH
Alcala,PH021502000,,,,Cagayan,PH021500000,Region II,PH020000000,Philippines (the),PH
Allacapan,PH021503000,,,,Cagayan,PH021500000,Region II,PH020000000,Philippines (the),PH
Amulung,PH021504000,,,,Cagayan,PH021500000,Region II,PH020000000,Philippines (the),PH
Aparri,PH021505000,,,,Cagayan,PH021500000,Region II,PH020000000,Philippines (the),PH
Baggao,PH021506000,,,,Cagayan,PH021500000,Region II,PH020000000,Philippines (the),PH
Ballesteros,PH021507000,,,,Cagayan,PH021500000,Region II,PH020000000,Philippines (the),PH
Buguey,PH021508000,,,,Cagayan,PH021500000,Region II,PH020000000,Philippines (the),PH
Calayan,PH021509000,,,,Cagayan,PH021500000,Region II,PH020000000,Philippines (the),PH
Camalaniugan,PH021510000,,,,Cagayan,PH021500000,Region II,PH020000000,Philippines (the),PH
Claveria,PH021511000,,,,Cagayan,PH021500000,Region II,PH020000000,Philippines (the),PH
Enrile,PH021512000,,,,Cagayan,PH021500000,Region II,PH020000000,Philippines (the),PH
Gattaran,PH021513000,,,,Cagayan,PH021500000,Region II,PH020000000,Philippines (the),PH
Gonzaga,PH021514000,,,,Cagayan,PH021500000,Region II,PH020000000,Philippines (the),PH
Iguig,PH021515000,,,,Cagayan,PH021500000,Region II,PH020000000,Philippines (the),PH
Lal-Lo,PH021516000,,,,Cagayan,PH021500000,Region II,PH020000000,Philippines (the),PH
Lasam,PH021517000,,,,Cagayan,PH021500000,Region II,PH020000000,Philippines (the),PH
Pamplona,PH021518000,,,,Cagayan,PH021500000,Region II,PH020000000,Philippines (the),PH
Peñablanca,PH021519000,Penablanca,,,Cagayan,PH021500000,Region II,PH020000000,Philippines (the),PH
Piat,PH021520000,,,,Cagayan,PH021500000,Region II,PH020000000,Philippines (the),PH
Rizal,PH021521000,,,,Cagayan,PH021500000,Region II,PH020000000,Philippines (the),PH
Sanchez-Mira,PH021522000,,,,Cagayan,PH021500000,Region II,PH020000000,Philippines (the),PH
Santa Ana,PH021523000,,,,Cagayan,PH021500000,Region II,PH020000000,Philippines (the),PH
Santa Praxedes,PH021524000,,,,Cagayan,PH021500000,Region II,PH020000000,Philippines (the),PH
Santa Teresita,PH021525000,,,,Cagayan,PH021500000,Region II,PH020000000,Philippines (the),PH
Santo Niño,PH021526000,Santo Nino,Faire,,Cagayan,PH021500000,Region II,PH020000000,Philippines (the),PH
Solana,PH021527000,,,,Cagayan,PH021500000,Region II,PH020000000,Philippines (the),PH
Tuao,PH021528000,,,,Cagayan,PH021500000,Region II,PH020000000,Philippines (the),PH
Tuguegarao City,PH021529000,,Capital,,Cagayan,PH021500000,Region II,PH020000000,Philippines (the),PH
Alicia,PH023101000,,,,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
Angadanan,PH023102000,,,,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
Aurora,PH023103000,,,,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
Benito Soliven,PH023104000,,,,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
Burgos,PH023105000,,,,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
Cabagan,PH023106000,,,,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
Cabatuan,PH023107000,,,,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
City of Cauayan,PH023108000,,,,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
Cordon,PH023109000,,,,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
Dinapigue,PH023110000,,,,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
Divilacan,PH023111000,,,,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
Echague,PH023112000,,,,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
Gamu,PH023113000,,,,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
Ilagan City,PH023114000,,Capital,,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
Jones,PH023115000,,,,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
Luna,PH023116000,,,,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
Maconacon,PH023117000,,,,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
Delfin Albano,PH023118000,,Magsaysay,,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
Mallig,PH023119000,,,,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
Naguilian,PH023120000,,,,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
Palanan,PH023121000,,,,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
Quezon,PH023122000,,,,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
Quirino,PH023123000,,,,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
Ramon,PH023124000,,,,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
Reina Mercedes,PH023125000,,,,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
Roxas,PH023126000,,,,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
San Agustin,PH023127000,,,,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
San Guillermo,PH023128000,,,,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
San Isidro,PH023129000,,,,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
San Manuel,PH023130000,,,,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
San Mariano,PH023131000,,,,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
San Mateo,PH023132000,,,,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
San Pablo,PH023133000,,,,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
Santa Maria,PH023134000,,,,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
City of Santiago,PH023135000,,,,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
Santo Tomas,PH023136000,,,,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
Tumauini,PH023137000,,,,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
Ambaguio,PH025001000,,,,Nueva Vizcaya,PH025000000,Region II,PH020000000,Philippines (the),PH
Aritao,PH025002000,,,,Nueva Vizcaya,PH025000000,Region II,PH020000000,Philippines (the),PH
Bagabag,PH025003000,,,,Nueva Vizcaya,PH025000000,Region II,PH020000000,Philippines (the),PH
Bambang,PH025004000,,,,Nueva Vizcaya,PH025000000,Region II,PH020000000,Philippines (the),PH
Bayombong,PH025005000,,Capital,,Nueva Vizcaya,PH025000000,Region II,PH020000000,Philippines (the),PH
Diadi,PH025006000,,,,Nueva Vizcaya,PH025000000,Region II,PH020000000,Philippines (the),PH
Dupax del Norte,PH025007000,,,,Nueva Vizcaya,PH025000000,Region II,PH020000000,Philippines (the),PH
Dupax del Sur,PH025008000,,,,Nueva Vizcaya,PH025000000,Region II,PH020000000,Philippines (the),PH
Kasibu,PH025009000,,,,Nueva Vizcaya,PH025000000,Region II,PH020000000,Philippines (the),PH
Kayapa,PH025010000,,,,Nueva Vizcaya,PH025000000,Region II,PH020000000,Philippines (the),PH
Quezon,PH025011000,,,,Nueva Vizcaya,PH025000000,Region II,PH020000000,Philippines (the),PH
Santa Fe,PH025012000,,,,Nueva Vizcaya,PH025000000,Region II,PH020000000,Philippines (the),PH
Solano,PH025013000,,,,Nueva Vizcaya,PH025000000,Region II,PH020000000,Philippines (the),PH
Villaverde,PH025014000,,,,Nueva Vizcaya,PH025000000,Region II,PH020000000,Philippines (the),PH
Alfonso Castaneda,PH025015000,,,,Nueva Vizcaya,PH025000000,Region II,PH020000000,Philippines (the),PH
Aglipay,PH025701000,,,,Quirino,PH025700000,Region II,PH020000000,Philippines (the),PH
Cabarroguis,PH025702000,,Capital,,Quirino,PH025700000,Region II,PH020000000,Philippines (the),PH
Diffun,PH025703000,,,,Quirino,PH025700000,Region II,PH020000000,Philippines (the),PH
Maddela,PH025704000,,,,Quirino,PH025700000,Region II,PH020000000,Philippines (the),PH
Saguday,PH025705000,,,,Quirino,PH025700000,Region II,PH020000000,Philippines (the),PH
Nagtipunan,PH025706000,,,,Quirino,PH025700000,Region II,PH020000000,Philippines (the),PH
Abucay,PH030801000,,,,Bataan,PH030800000,Region III,PH030000000,Philippines (the),PH
Bagac,PH030802000,,,,Bataan,PH030800000,Region III,PH030000000,Philippines (the),PH
City of Balanga,PH030803000,,Capital,,Bataan,PH030800000,Region III,PH030000000,Philippines (the),PH
Dinalupihan,PH030804000,,,,Bataan,PH030800000,Region III,PH030000000,Philippines (the),PH
Hermosa,PH030805000,,,,Bataan,PH030800000,Region III,PH030000000,Philippines (the),PH
Limay,PH030806000,,,,Bataan,PH030800000,Region III,PH030000000,Philippines (the),PH
Mariveles,PH030807000,,,,Bataan,PH030800000,Region III,PH030000000,Philippines (the),PH
Morong,PH030808000,,,,Bataan,PH030800000,Region III,PH030000000,Philippines (the),PH
Orani,PH030809000,,,,Bataan,PH030800000,Region III,PH030000000,Philippines (the),PH
Orion,PH030810000,,,,Bataan,PH030800000,Region III,PH030000000,Philippines (the),PH
Pilar,PH030811000,,,,Bataan,PH030800000,Region III,PH030000000,Philippines (the),PH
Samal,PH030812000,,,,Bataan,PH030800000,Region III,PH030000000,Philippines (the),PH
Angat,PH031401000,,,,Bulacan,PH031400000,Region III,PH030000000,Philippines (the),PH
Balagtas,PH031402000,,Bigaa,,Bulacan,PH031400000,Region III,PH030000000,Philippines (the),PH
Baliuag,PH031403000,,,,Bulacan,PH031400000,Region III,PH030000000,Philippines (the),PH
Bocaue,PH031404000,,,,Bulacan,PH031400000,Region III,PH030000000,Philippines (the),PH
Bulacan,PH031405000,,,,Bulacan,PH031400000,Region III,PH030000000,Philippines (the),PH
Bustos,PH031406000,,,,Bulacan,PH031400000,Region III,PH030000000,Philippines (the),PH
Calumpit,PH031407000,,,,Bulacan,PH031400000,Region III,PH030000000,Philippines (the),PH
Guiguinto,PH031408000,,,,Bulacan,PH031400000,Region III,PH030000000,Philippines (the),PH
Hagonoy,PH031409000,,,,Bulacan,PH031400000,Region III,PH030000000,Philippines (the),PH
City of Malolos,PH031410000,,Capital,,Bulacan,PH031400000,Region III,PH030000000,Philippines (the),PH
Marilao,PH031411000,,,,Bulacan,PH031400000,Region III,PH030000000,Philippines (the),PH
City of Meycauayan,PH031412000,,,,Bulacan,PH031400000,Region III,PH030000000,Philippines (the),PH
Norzagaray,PH031413000,,,,Bulacan,PH031400000,Region III,PH030000000,Philippines (the),PH
Obando,PH031414000,,,,Bulacan,PH031400000,Region III,PH030000000,Philippines (the),PH
Pandi,PH031415000,,,,Bulacan,PH031400000,Region III,PH030000000,Philippines (the),PH
Paombong,PH031416000,,,,Bulacan,PH031400000,Region III,PH030000000,Philippines (the),PH
Plaridel,PH031417000,,,,Bulacan,PH031400000,Region III,PH030000000,Philippines (the),PH
Pulilan,PH031418000,,,,Bulacan,PH031400000,Region III,PH030000000,Philippines (the),PH
San Ildefonso,PH031419000,,,,Bulacan,PH031400000,Region III,PH030000000,Philippines (the),PH
City of San Jose del Monte,PH031420000,,,,Bulacan,PH031400000,Region III,PH030000000,Philippines (the),PH
San Miguel,PH031421000,,,,Bulacan,PH031400000,Region III,PH030000000,Philippines (the),PH
San Rafael,PH031422000,,,,Bulacan,PH031400000,Region III,PH030000000,Philippines (the),PH
Santa Maria,PH031423000,,,,Bulacan,PH031400000,Region III,PH030000000,Philippines (the),PH
Doña Remedios Trinidad,PH031424000,Dona Remedios Trinidad,,,Bulacan,PH031400000,Region III,PH030000000,Philippines (the),PH
Aliaga,PH034901000,,,,Nueva Ecija,PH034900000,Region III,PH030000000,Philippines (the),PH
Bongabon,PH034902000,,,,Nueva Ecija,PH034900000,Region III,PH030000000,Philippines (the),PH
Cabanatuan City,PH034903000,,,,Nueva Ecija,PH034900000,Region III,PH030000000,Philippines (the),PH
Cabiao,PH034904000,,,,Nueva Ecija,PH034900000,Region III,PH030000000,Philippines (the),PH
Carranglan,PH034905000,,,,Nueva Ecija,PH034900000,Region III,PH030000000,Philippines (the),PH
Cuyapo,PH034906000,,,,Nueva Ecija,PH034900000,Region III,PH030000000,Philippines (the),PH
Gabaldon,PH034907000,,Bitulok & Sabani,,Nueva Ecija,PH034900000,Region III,PH030000000,Philippines (the),PH
City of Gapan,PH034908000,,,,Nueva Ecija,PH034900000,Region III,PH030000000,Philippines (the),PH
General Mamerto Natividad,PH034909000,,,,Nueva Ecija,PH034900000,Region III,PH030000000,Philippines (the),PH
General Tinio,PH034910000,,Papaya,,Nueva Ecija,PH034900000,Region III,PH030000000,Philippines (the),PH
Guimba,PH034911000,,,,Nueva Ecija,PH034900000,Region III,PH030000000,Philippines (the),PH
Jaen,PH034912000,,,,Nueva Ecija,PH034900000,Region III,PH030000000,Philippines (the),PH
Laur,PH034913000,,,,Nueva Ecija,PH034900000,Region III,PH030000000,Philippines (the),PH
Licab,PH034914000,,,,Nueva Ecija,PH034900000,Region III,PH030000000,Philippines (the),PH
Llanera,PH034915000,,,,Nueva Ecija,PH034900000,Region III,PH030000000,Philippines (the),PH
Lupao,PH034916000,,,,Nueva Ecija,PH034900000,Region III,PH030000000,Philippines (the),PH
Science City of Muñoz,PH034917000,Science City of Munoz,,,Nueva Ecija,PH034900000,Region III,PH030000000,Philippines (the),PH
Nampicuan,PH034918000,,,,Nueva Ecija,PH034900000,Region III,PH030000000,Philippines (the),PH
Palayan City,PH034919000,,Capital,,Nueva Ecija,PH034900000,Region III,PH030000000,Philippines (the),PH
Pantabangan,PH034920000,,,,Nueva Ecija,PH034900000,Region III,PH030000000,Philippines (the),PH
Peñaranda,PH034921000,Penaranda,,,Nueva Ecija,PH034900000,Region III,PH030000000,Philippines (the),PH
Quezon,PH034922000,,,,Nueva Ecija,PH034900000,Region III,PH030000000,Philippines (the),PH
Rizal,PH034923000,,,,Nueva Ecija,PH034900000,Region III,PH030000000,Philippines (the),PH
San Antonio,PH034924000,,,,Nueva Ecija,PH034900000,Region III,PH030000000,Philippines (the),PH
San Isidro,PH034925000,,,,Nueva Ecija,PH034900000,Region III,PH030000000,Philippines (the),PH
San Jose City,PH034926000,,,,Nueva Ecija,PH034900000,Region III,PH030000000,Philippines (the),PH
San Leonardo,PH034927000,,,,Nueva Ecija,PH034900000,Region III,PH030000000,Philippines (the),PH
Santa Rosa,PH034928000,,,,Nueva Ecija,PH034900000,Region III,PH030000000,Philippines (the),PH
Santo Domingo,PH034929000,,,,Nueva Ecija,PH034900000,Region III,PH030000000,Philippines (the),PH
Talavera,PH034930000,,,,Nueva Ecija,PH034900000,Region III,PH030000000,Philippines (the),PH
Talugtug,PH034931000,,,,Nueva Ecija,PH034900000,Region III,PH030000000,Philippines (the),PH
